customer_id,signup_date,loyalty_status,age,gender
1,2023-01-31,Silver,22,M
2,2023-12-30,Silver,55,M
3,2022-05-10,Silver,50,M
4,2023-07-18,Silver,49,F
5,2023-02-04,Silver,35,F
6,2022-12-31,Silver,38,M
7,2024-09-20,Platinum,29,M
8,2022-11-10,Gold,66,F
9,2024-06-26,Silver,52,M
10,2020-05-01,Gold,42,M
11,2021-04-11,Silver,40,F
12,2023-05-23,Gold,25,F
13,2020-11-26,Gold,47,M
14,2024-01-22,Platinum,53,M
15,2020-03-28,Silver,42,F
16,2023-10-28,Silver,22,F
17,2023-01-28,Silver,50,F
18,2022-05-21,Silver,64,M
19,2024-08-14,Gold,55,F
20,2020-05-10,Gold,50,M
21,2024-08-12,Platinum,47,F
22,2023-08-25,Silver,30,M
23,2022-02-08,Gold,30,M
24,2020-12-09,Silver,23,F
25,2024-02-24,Platinum,40,M
26,2023-12-08,Silver,62,F
27,2022-03-16,Gold,46,F
28,2021-01-20,Silver,61,F
29,2023-04-30,Silver,33,M
30,2022-08-13,Gold,36,F
31,2020-10-03,Platinum,67,M
32,2023-03-30,Gold,20,F
33,2021-04-04,Silver,66,F
34,2023-08-30,Silver,53,M
35,2020-01-22,Silver,62,F
36,2020-09-09,Gold,25,M
37,2022-01-17,Silver,62,F
38,2022-05-06,Platinum,48,M
39,2024-05-03,Gold,19,F
40,2021-04-19,Gold,63,M
41,2022-12-18,Gold,61,F
42,2021-05-25,Gold,61,F
43,2024-09-01,Silver,28,F
44,2024-02-08,Silver,33,M
45,2021-11-30,Silver,42,M
46,2022-09-02,Silver,55,M
47,2024-12-11,Silver,39,M
48,2020-07-08,Gold,20,F
49,2022-08-15,Silver,23,F
50,2021-11-17,Platinum,57,M
51,2022-08-15,Gold,29,F
52,2021-07-16,Platinum,42,M
53,2024-05-09,Silver,56,M
54,2023-06-21,Gold,32,M
55,2022-04-11,Platinum,58,F
56,2024-03-08,Silver,61,F
57,2023-02-28,Platinum,43,M
58,2024-02-17,Silver,30,M
59,2021-10-08,Silver,47,F
60,2020-01-21,Silver,57,M
61,2022-04-20,Silver,62,M
62,2020-06-15,Platinum,25,F
63,2023-07-21,Silver,31,M
64,2021-01-22,Gold,22,M
65,2021-08-23,Gold,58,M
66,2020-11-11,Gold,60,F
67,2020-01-14,Silver,50,M
68,2020-08-29,Gold,54,M
69,2022-02-15,Silver,68,F
70,2023-10-01,Gold,32,F
71,2021-07-18,Platinum,50,M
72,2022-06-16,Silver,26,F
73,2023-09-25,Silver,25,M
74,2020-04-01,Gold,31,F
75,2023-10-22,Silver,45,M
76,2022-08-13,Silver,49,M
77,2024-01-18,Silver,38,F
78,2023-12-22,Silver,40,M
79,2021-05-23,Silver,62,F
80,2022-02-14,Silver,40,F
81,2020-02-04,Gold,38,M
82,2020-07-24,Gold,63,F
83,2023-01-09,Platinum,53,M
84,2024-05-04,Gold,21,F
85,2023-11-12,Silver,61,F
86,2022-10-22,Silver,33,M
87,2022-10-18,Gold,43,M
88,2023-11-14,Platinum,52,F
89,2021-07-19,Gold,38,F
90,2023-02-03,Silver,27,M
91,2024-11-30,Platinum,66,M
92,2024-02-09,Gold,19,M
93,2021-12-03,Silver,60,F
94,2021-02-05,Gold,30,M
95,2021-12-30,Silver,52,M
96,2024-04-28,Silver,41,M
97,2020-06-10,Silver,45,M
98,2020-07-20,Silver,55,F
99,2022-09-22,Gold,51,F
100,2020-09-26,Gold,37,F
101,2022-03-26,Silver,59,F
102,2023-07-18,Silver,55,F
103,2021-03-31,Silver,48,F
104,2024-01-25,Gold,32,F
105,2024-10-16,Silver,56,M
106,2023-06-29,Gold,40,M
107,2022-10-13,Platinum,21,M
108,2024-09-21,Gold,32,M
109,2020-10-22,Silver,60,F
110,2024-10-14,Silver,48,F
111,2021-12-20,Silver,33,M
112,2024-11-07,Silver,19,M
113,2020-12-03,Gold,35,F
114,2022-05-28,Silver,19,M
115,2022-12-12,Silver,67,M
116,2022-03-02,Gold,67,F
117,2020-08-04,Platinum,19,M
118,2022-02-02,Silver,50,F
119,2020-07-06,Gold,49,M
120,2021-01-14,Gold,25,F
121,2021-05-07,Gold,29,F
122,2022-11-30,Platinum,41,F
123,2023-03-26,Silver,67,F
124,2020-01-15,Gold,60,M
125,2020-03-05,Gold,36,M
