customer_id,order_id,offer_id,timestamp
68245,31,1,2025-02-02
33198,32,1,2025-11-03
18734,34,4,2025-09-28
33598,41,4,2025-07-27
33079,47,2,2025-09-19
73495,51,3,2025-06-15
69093,64,1,2025-07-04
138,72,2,2025-08-06
8950,73,3,2025-11-28
94078,76,3,2025-07-16
69555,77,4,2025-08-15
63017,79,1,2025-02-28
1205,84,2,2025-05-28
49255,86,1,2025-08-26
11046,87,2,2025-03-22
85424,105,2,2025-06-16
89727,106,3,2025-04-16
73266,109,4,2025-05-10
94089,112,3,2025-02-17
19963,122,4,2025-02-28
41426,125,3,2025-05-31
47561,131,1,2025-07-02
19285,137,3,2025-02-24
11178,138,3,2025-03-01
3639,140,1,2025-09-05
17925,141,4,2025-09-16
42577,143,3,2025-02-21
22712,162,4,2025-09-16
55801,164,2,2025-04-05
32538,167,2,2025-12-23
16862,170,3,2025-02-07
93059,172,3,2025-06-16
50877,176,3,2025-12-19
69682,177,2,2025-04-21
76356,193,2,2025-09-20
14091,211,1,2025-10-16
52377,213,4,2025-09-03
38347,217,2,2025-01-30
22264,222,2,2025-06-21
32617,226,2,2025-06-12
71111,228,4,2025-01-16
16042,229,1,2025-03-15
62973,233,3,2025-03-04
95903,245,4,2025-09-16
82198,248,1,2025-09-19
69697,250,2,2025-04-02
10765,262,1,2025-06-15
43943,264,4,2025-05-12
87508,266,2,2025-01-19
32952,277,4,2025-11-16
11828,284,3,2025-07-17
64625,289,3,2025-01-30
65040,293,4,2025-12-23
93871,295,1,2025-12-06
28661,302,4,2025-10-01
5073,310,4,2025-01-26
29073,311,4,2025-12-19
78027,313,1,2025-02-13
12743,316,4,2025-07-25
61120,319,1,2025-08-29
38627,321,4,2025-04-29
30557,324,4,2025-06-25
70569,334,4,2025-08-08
1943,335,4,2025-05-02
79229,336,4,2025-10-14
46372,339,3,2025-05-30
74852,346,2,2025-04-07
27612,358,4,2025-03-21
70169,361,2,2025-04-19
14099,379,1,2025-07-14
26198,386,4,2025-07-06
65981,388,1,2025-06-20
62721,395,4,2025-11-23
54493,399,3,2025-01-09
8049,407,1,2025-03-14
90045,420,2,2025-05-25
94197,421,4,2025-10-20
9934,426,4,2025-08-25
36404,428,2,2025-07-07
29159,429,4,2025-05-28
37080,430,4,2025-10-10
25999,438,2,2025-01-24
22990,445,2,2025-02-02
55909,446,1,2025-05-12
87837,456,3,2025-03-01
64236,460,3,2025-11-30
86434,469,4,2025-03-15
64936,471,3,2025-01-04
41954,476,2,2025-02-05
81296,487,3,2025-02-09
4963,492,3,2025-11-27
13650,493,1,2025-11-17
9343,503,4,2025-11-11
62708,508,2,2025-12-07
4606,518,4,2025-02-26
66808,520,2,2025-12-06
94409,530,3,2025-08-06
25826,535,4,2025-07-10
37362,536,4,2025-09-08
49600,543,2,2025-11-12
94792,544,2,2025-01-31
29710,552,2,2025-08-14
57224,553,2,2025-02-21
34828,555,2,2025-11-26
5016,557,3,2025-10-17
71980,560,2,2025-09-03
44204,563,4,2025-07-20
19944,575,1,2025-05-17
50542,577,3,2025-05-16
51430,588,4,2025-03-21
18111,593,3,2025-01-09
92572,595,4,2025-05-03
95851,600,1,2025-05-24
47569,617,1,2025-03-26
85977,618,3,2025-03-26
18183,624,3,2025-02-13
66806,644,4,2025-05-20
70003,654,4,2025-07-13
35084,659,1,2025-01-17
19988,661,1,2025-03-02
86805,662,1,2025-01-23
91708,664,2,2025-01-08
87212,666,2,2025-03-04
81226,667,2,2025-05-02
19905,668,4,2025-11-05
49091,670,3,2025-12-03
95929,681,4,2025-04-06
57418,693,1,2025-10-11
96376,696,1,2025-06-07
35277,708,2,2025-09-10
40126,712,4,2025-01-11
6374,713,3,2025-05-22
24693,716,1,2025-11-01
67006,717,3,2025-09-22
48178,725,4,2025-07-20
62016,730,4,2025-09-22
49356,748,1,2025-11-30
68547,751,1,2025-02-10
43551,753,1,2025-01-22
70092,756,1,2025-07-04
87823,763,2,2025-04-17
89809,764,2,2025-12-11
46283,773,4,2025-05-18
39887,775,1,2025-10-10
32520,776,2,2025-01-21
36634,786,2,2025-04-05
45386,811,3,2025-05-09
38078,822,4,2025-11-11
20310,835,2,2025-12-15
1422,838,3,2025-07-18
70225,846,4,2025-09-24
1739,853,4,2025-01-09
85921,854,1,2025-02-21
66360,859,3,2025-03-04
96917,878,3,2025-12-18
92378,885,2,2025-12-06
27365,887,2,2025-05-28
61008,891,3,2025-07-12
70692,895,3,2025-11-27
3026,897,2,2025-07-17
45422,906,3,2025-11-15
67113,914,4,2025-04-22
24721,918,1,2025-07-22
60369,923,2,2025-08-07
54462,927,4,2025-09-10
97161,928,2,2025-12-13
928,930,3,2025-12-15
47155,946,4,2025-09-30
57377,947,3,2025-04-05
39657,948,2,2025-02-06
26839,949,2,2025-08-01
1287,950,2,2025-08-24
48688,961,2,2025-09-30
59140,969,2,2025-01-08
64109,970,2,2025-09-17
53666,976,2,2025-04-25
64504,977,4,2025-11-27
29248,988,3,2025-02-23
98223,994,1,2025-12-21
88908,1001,2,2025-01-14
62941,1004,2,2025-05-07
73948,1009,2,2025-09-29
78205,1012,3,2025-10-28
34780,1015,4,2025-04-29
38920,1024,2,2025-10-04
46641,1027,4,2025-12-12
79180,1051,1,2025-08-22
10827,1053,3,2025-04-09
56576,1055,2,2025-09-30
80175,1057,3,2025-03-25
93946,1062,2,2025-11-10
78257,1065,3,2025-03-26
89673,1085,2,2025-04-03
86445,1096,3,2025-11-19
51518,1098,1,2025-01-30
93875,1103,2,2025-05-09
62013,1107,1,2025-03-01
26415,1112,4,2025-12-05
56818,1120,3,2025-06-27
83419,1126,2,2025-10-09
19109,1127,3,2025-03-26
15874,1131,3,2025-07-29
23673,1135,3,2025-05-12
8826,1154,1,2025-02-13
25121,1159,3,2025-03-11
30689,1162,4,2025-04-15
32453,1164,2,2025-07-25
3553,1167,1,2025-11-25
41918,1170,2,2025-01-29
30401,1171,2,2025-02-11
6309,1173,4,2025-12-13
75871,1178,4,2025-11-11
4958,1180,1,2025-10-08
5235,1181,4,2025-01-11
50224,1182,4,2025-06-26
51126,1191,4,2025-06-22
46496,1203,4,2025-02-08
88916,1220,1,2025-07-17
50,1225,3,2025-08-12
60914,1228,4,2025-08-30
13436,1231,3,2025-03-24
82074,1232,1,2025-04-24
8543,1233,3,2025-06-21
94696,1234,1,2025-05-10
12252,1242,3,2025-01-17
60574,1244,4,2025-07-20
62646,1250,2,2025-12-04
85127,1265,3,2025-10-12
21085,1275,1,2025-03-30
36051,1289,3,2025-10-02
63576,1290,3,2025-12-18
46446,1292,1,2025-09-09
53632,1317,2,2025-06-06
47049,1320,1,2025-12-11
30811,1329,4,2025-10-29
75429,1334,3,2025-05-27
23792,1336,1,2025-11-22
26702,1345,2,2025-09-07
7418,1346,2,2025-12-17
19593,1357,4,2025-09-24
73499,1368,4,2025-05-29
24121,1370,2,2025-01-08
77421,1372,3,2025-02-05
